content,data_clean_content,slang_replacement_content,tokenized_content,remove_stopwords_content
"Shopee memang payah,paket sepatu dari Jakarta kebatam,15 hari belum sampai,kurirnya shopee xpress hemat,nggak sesuai dengan namanya,bea 39rb,kurir lain aja 3 hari sudah sampai,malas belanja dishopee sekarang.",shopee memang payah paket sepatu dari jakarta kebatam hari belum sampai kurirnya shopee xpress hemat nggak sesuai dengan namanya bea rb kurir lain aja hari sudah sampai malas belanja dishopee sekarang,shopee memang payah paket sepatu dari jakarta kebatam hari belum sampai kurirnya shopee xpress hemat tidak sesuai dengan namanya bea ribu  kurir lain saja  hari sudah sampai malas belanja dishopee sekarang,"['shopee', 'memang', 'payah', 'paket', 'sepatu', 'dari', 'jakarta', 'kebatam', 'hari', 'belum', 'sampai', 'kurirnya', 'shopee', 'xpress', 'hemat', 'tidak', 'sesuai', 'dengan', 'namanya', 'bea', 'ribu', 'kurir', 'lain', 'saja', 'hari', 'sudah', 'sampai', 'malas', 'belanja', 'dishopee', 'sekarang']","['shopee', 'memang', 'payah', 'paket', 'sepatu', 'jakarta', 'kebatam', 'hari', 'belum', 'kurirnya', 'shopee', 'xpress', 'hemat', 'tidak', 'sesuai', 'namanya', 'bea', 'ribu', 'kurir', 'hari', 'malas', 'belanja', 'dishopee', 'sekarang']"
Apk lintah darat...banyak ongkos tambahan,apk lintah darat banyak ongkos tambahan,apk lintah darat banyak ongkos tambahan,"['apk', 'lintah', 'darat', 'banyak', 'ongkos', 'tambahan']","['apk', 'lintah', 'darat', 'banyak', 'ongkos', 'tambahan']"
Aplikasi lemot... pencarian tidak akurat... Jelek bgt sekarng.tolong perbaiki agar bintang bisa full,aplikasi lemot pencarian tidak akurat jelek bgt sekarng tolong perbaiki agar bintang bisa full,aplikasi lemot pencarian tidak akurat jelek sangat  sekarng tolong perbaiki agar bintang bisa full,"['aplikasi', 'lemot', 'pencarian', 'tidak', 'akurat', 'jelek', 'sangat', 'sekarng', 'tolong', 'perbaiki', 'agar', 'bintang', 'bisa', 'full']","['aplikasi', 'lemot', 'pencarian', 'tidak', 'akurat', 'jelek', 'sangat', 'sekarng', 'perbaiki', 'bintang', 'full']"
Notifikasi Shopee video ganggu. Stop jadi TikTok wannabe. Fokus aja ke e-commerce,notifikasi shopee video ganggu stop jadi tiktok wannabe fokus aja ke e commerce,notifikasi shopee video ganggu stop jadi tiktok wannabe fokus saja  ke e commerce,"['notifikasi', 'shopee', 'video', 'ganggu', 'stop', 'jadi', 'tiktok', 'wannabe', 'fokus', 'saja', 'ke', 'e', 'commerce']","['notifikasi', 'shopee', 'video', 'ganggu', 'stop', 'jadi', 'tiktok', 'wannabe', 'fokus', 'e', 'commerce']"
"Kocakk nii asli, spinjam ga bs , skg sppaylater pun di nonaktfkan ga jelas bgt bisa tb2 bgtu. Bukan makin lbh baik stlh di updt malah makin jadi buruk nya hahaa",kocakk nii asli spinjam ga bs skg sppaylater pun di nonaktfkan ga jelas bgt bisa tb bgtu bukan makin lbh baik stlh di updt malah makin jadi buruk nya hahaa,kocakk nii asli spinjam tidak bisa skg sppaylater pun di nonaktfkan tidak jelas sangat  bisa tb begitu  bukan makin lebih  baik setelah  di updt malah makin jadi buruk nya hahaa,"['kocakk', 'nii', 'asli', 'spinjam', 'tidak', 'bisa', 'skg', 'sppaylater', 'pun', 'di', 'nonaktfkan', 'tidak', 'jelas', 'sangat', 'bisa', 'tb', 'begitu', 'bukan', 'makin', 'lebih', 'baik', 'setelah', 'di', 'updt', 'malah', 'makin', 'jadi', 'buruk', 'nya', 'hahaa']","['kocakk', 'nii', 'asli', 'spinjam', 'tidak', 'skg', 'sppaylater', 'nonaktfkan', 'tidak', 'jelas', 'sangat', 'tb', 'bukan', 'makin', 'lebih', 'baik', 'updt', 'malah', 'makin', 'jadi', 'buruk', 'nya', 'hahaa']"
Lemotttttt parahhhhhhhhhhh,lemotttttt parahhhhhhhhhhh,lemotttttt parahhhhhhhhhhh,"['lemotttttt', 'parahhhhhhhhhhh']","['lemotttttt', 'parahhhhhhhhhhh']"
Saya kira cuma saya yang merasakan trouble pada aplikasi ini... Ternyata hampir semua. Makin diupdate makin kacau... Shoope sekarang berat karena ada video kaya tik tok segala macam. Nggak nyaman,saya kira cuma saya yang merasakan trouble pada aplikasi ini ternyata hampir semua makin diupdate makin kacau shoope sekarang berat karena ada video kaya tik tok segala macam nggak nyaman,saya kira cuma saya yang merasakan trouble pada aplikasi ini ternyata hampir semua makin diupdate makin kacau shoope sekarang berat karena ada video kaya tik tok segala macam tidak nyaman,"['saya', 'kira', 'cuma', 'saya', 'yang', 'merasakan', 'trouble', 'pada', 'aplikasi', 'ini', 'ternyata', 'hampir', 'semua', 'makin', 'diupdate', 'makin', 'kacau', 'shoope', 'sekarang', 'berat', 'karena', 'ada', 'video', 'kaya', 'tik', 'tok', 'segala', 'macam', 'tidak', 'nyaman']","['kira', 'cuma', 'merasakan', 'trouble', 'aplikasi', 'ternyata', 'hampir', 'semua', 'makin', 'diupdate', 'makin', 'kacau', 'shoope', 'sekarang', 'berat', 'video', 'kaya', 'tik', 'tok', 'segala', 'macam', 'tidak', 'nyaman']"
eror mulu,eror mulu,eror terus ,"['eror', 'terus']","['eror', 'terus']"
"Sumpah aplikasi sering ngelag, trs tiba"" log out sendiri. Tlg dibenerin yah! Susah tau buat yang lupa email sama pasword nya!",sumpah aplikasi sering ngelag trs tiba log out sendiri tlg dibenerin yah susah tau buat yang lupa email sama pasword nya,sumpah aplikasi sering ngelag terus  tiba log out sendiri tolong  dibenerin yah susah tahu buat yang lupa email sama pasword nya,"['sumpah', 'aplikasi', 'sering', 'ngelag', 'terus', 'tiba', 'log', 'out', 'sendiri', 'tolong', 'dibenerin', 'yah', 'susah', 'tahu', 'buat', 'yang', 'lupa', 'email', 'sama', 'pasword', 'nya']","['sumpah', 'aplikasi', 'sering', 'ngelag', 'terus', 'tiba', 'log', 'out', 'sendiri', 'dibenerin', 'yah', 'susah', 'tahu', 'buat', 'lupa', 'email', 'sama', 'pasword', 'nya']"
Shopee ngebug apa gimana sih? Uang dari shopee video bisa ditarik ke spay tapi dari spay gabisa ditransfer ke rekening. Parah. Rating ku ubah kalau sudah diperbaiki,shopee ngebug apa gimana sih uang dari shopee video bisa ditarik ke spay tapi dari spay gabisa ditransfer ke rekening parah rating ku ubah kalau sudah diperbaiki,shopee ngebug apa gimana sih uang dari shopee video bisa ditarik ke spay tapi dari spay tidak bisa ditransfer ke rekening parah rating ku ubah kalau sudah diperbaiki,"['shopee', 'ngebug', 'apa', 'gimana', 'sih', 'uang', 'dari', 'shopee', 'video', 'bisa', 'ditarik', 'ke', 'spay', 'tapi', 'dari', 'spay', 'tidak', 'bisa', 'ditransfer', 'ke', 'rekening', 'parah', 'rating', 'ku', 'ubah', 'kalau', 'sudah', 'diperbaiki']","['shopee', 'ngebug', 'apa', 'gimana', 'sih', 'uang', 'shopee', 'video', 'ditarik', 'spay', 'spay', 'tidak', 'ditransfer', 'rekening', 'parah', 'rating', 'ku', 'ubah', 'kalau', 'diperbaiki']"
"Pelayanan burik,,konsumen cm jadi target pasar doang,seller banyak yg cm nyari cuan tanpa melayani konsumen dgn benar Komplen ga ditanggepin Merdeka deh buat seller Buat pembeli mau protes juga ga bakalan digubris Makasih pengalamannya,ga bakalan pesennlagi d aplikasi ini",pelayanan burik konsumen cm jadi target pasar doang seller banyak yg cm nyari cuan tanpa melayani konsumen dgn benar komplen ga ditanggepin merdeka deh buat seller buat pembeli mau protes juga ga bakalan digubris makasih pengalamannya ga bakalan pesennlagi d aplikasi ini,pelayanan burik konsumen cuma  jadi target pasar saja  seller banyak yang  cuma  cari  cuan tanpa melayani konsumen dengan  benar komplen tidak ditanggepin merdeka deh buat seller buat pembeli mau protes juga tidak akan  digubris makasih pengalamannya tidak akan  pesennlagi d aplikasi ini,"['pelayanan', 'burik', 'konsumen', 'cuma', 'jadi', 'target', 'pasar', 'saja', 'seller', 'banyak', 'yang', 'cuma', 'cari', 'cuan', 'tanpa', 'melayani', 'konsumen', 'dengan', 'benar', 'komplen', 'tidak', 'ditanggepin', 'merdeka', 'deh', 'buat', 'seller', 'buat', 'pembeli', 'mau', 'protes', 'juga', 'tidak', 'akan', 'digubris', 'makasih', 'pengalamannya', 'tidak', 'akan', 'pesennlagi', 'd', 'aplikasi', 'ini']","['pelayanan', 'burik', 'konsumen', 'cuma', 'jadi', 'target', 'pasar', 'seller', 'banyak', 'cuma', 'cari', 'cuan', 'melayani', 'konsumen', 'benar', 'komplen', 'tidak', 'ditanggepin', 'merdeka', 'deh', 'buat', 'seller', 'buat', 'pembeli', 'mau', 'protes', 'tidak', 'digubris', 'makasih', 'pengalamannya', 'tidak', 'pesennlagi', 'd', 'aplikasi']"
Gj,gj,gj,['gj'],['gj']
Udah lama ga belanja di shopee pas mua check out lupa pin mau ganti pin ga bisa alasan keamanan ini aplikasi gimana si gua mau belanja susah woooyyy,udah lama ga belanja di shopee pas mua check out lupa pin mau ganti pin ga bisa alasan keamanan ini aplikasi gimana si gua mau belanja susah woooyyy,sudah lama tidak belanja di shopee pas mua check out lupa pin mau ganti pin tidak bisa alasan keamanan ini aplikasi gimana si saya  mau belanja susah woooyyy,"['sudah', 'lama', 'tidak', 'belanja', 'di', 'shopee', 'pas', 'mua', 'check', 'out', 'lupa', 'pin', 'mau', 'ganti', 'pin', 'tidak', 'bisa', 'alasan', 'keamanan', 'ini', 'aplikasi', 'gimana', 'si', 'saya', 'mau', 'belanja', 'susah', 'woooyyy']","['lama', 'tidak', 'belanja', 'shopee', 'pas', 'mua', 'check', 'out', 'lupa', 'pin', 'mau', 'ganti', 'pin', 'tidak', 'alasan', 'keamanan', 'aplikasi', 'gimana', 'si', 'mau', 'belanja', 'susah', 'woooyyy']"
"Makin parah, Saat hendak buka aplikasi selalu eror Dan selalu ada kata kata halaman sedang dalam perbaikan setelah itu kembali ke halaman utama gimana mw masuk selalu kenak tolak terus",makin parah saat hendak buka aplikasi selalu eror dan selalu ada kata kata halaman sedang dalam perbaikan setelah itu kembali ke halaman utama gimana mw masuk selalu kenak tolak terus,makin parah saat hendak buka aplikasi selalu eror dan selalu ada kata kata halaman sedang dalam perbaikan setelah itu kembali ke halaman utama gimana mau masuk selalu kenak tolak terus,"['makin', 'parah', 'saat', 'hendak', 'buka', 'aplikasi', 'selalu', 'eror', 'dan', 'selalu', 'ada', 'kata', 'kata', 'halaman', 'sedang', 'dalam', 'perbaikan', 'setelah', 'itu', 'kembali', 'ke', 'halaman', 'utama', 'gimana', 'mau', 'masuk', 'selalu', 'kenak', 'tolak', 'terus']","['makin', 'parah', 'hendak', 'buka', 'aplikasi', 'selalu', 'eror', 'selalu', 'kata', 'kata', 'halaman', 'sedang', 'perbaikan', 'halaman', 'utama', 'gimana', 'mau', 'masuk', 'selalu', 'kenak', 'tolak', 'terus']"
Shopee lemooooooooootttttttttt bikin emosiiiii tiap buka aplikasinya !!!!!!!!!!!!!!!!!!!!!!!,shopee lemooooooooootttttttttt bikin emosiiiii tiap buka aplikasinya,shopee lemooooooooootttttttttt bikin emosiiiii tiap buka aplikasinya,"['shopee', 'lemooooooooootttttttttt', 'bikin', 'emosiiiii', 'tiap', 'buka', 'aplikasinya']","['shopee', 'lemooooooooootttttttttt', 'bikin', 'emosiiiii', 'tiap', 'buka', 'aplikasinya']"
Tiap buka produk cuma blank putih ga ada yg bisa dilihat atau klik.,tiap buka produk cuma blank putih ga ada yg bisa dilihat atau klik,tiap buka produk cuma blank putih tidak ada yang  bisa dilihat atau klik,"['tiap', 'buka', 'produk', 'cuma', 'blank', 'putih', 'tidak', 'ada', 'yang', 'bisa', 'dilihat', 'atau', 'klik']","['tiap', 'buka', 'produk', 'cuma', 'blank', 'putih', 'tidak', 'dilihat', 'klik']"
Bohong,bohong,bohong,['bohong'],['bohong']
"Kembalikan shope yg dulu Yg geratis ongkir tampa minimal belanja Tanpa spaylatger dan spipay, shoppe adminnya ga ramah masalah saya tentang komisi affiliate selama 5 bulan tidak cair dan tidakterselesaikan",kembalikan shope yg dulu yg geratis ongkir tampa minimal belanja tanpa spaylatger dan spipay shoppe adminnya ga ramah masalah saya tentang komisi affiliate selama bulan tidak cair dan tidakterselesaikan,kembalikan shope yang  dulu yang  geratis ongkir tampa minimal belanja tanpa spaylatger dan spipay shoppe adminnya tidak ramah masalah saya tentang komisi affiliate selama bulan tidak cair dan tidakterselesaikan,"['kembalikan', 'shope', 'yang', 'dulu', 'yang', 'geratis', 'ongkir', 'tampa', 'minimal', 'belanja', 'tanpa', 'spaylatger', 'dan', 'spipay', 'shoppe', 'adminnya', 'tidak', 'ramah', 'masalah', 'saya', 'tentang', 'komisi', 'affiliate', 'selama', 'bulan', 'tidak', 'cair', 'dan', 'tidakterselesaikan']","['kembalikan', 'shope', 'dulu', 'geratis', 'ongkir', 'tampa', 'minimal', 'belanja', 'spaylatger', 'spipay', 'shoppe', 'adminnya', 'tidak', 'ramah', 'masalah', 'komisi', 'affiliate', 'selama', 'bulan', 'tidak', 'cair', 'tidakterselesaikan']"
Tekek,tekek,tekek,['tekek'],['tekek']
Ngeleg gjls bngt,ngeleg gjls bngt,ngeleg gjls sangat ,"['ngeleg', 'gjls', 'sangat']","['ngeleg', 'gjls', 'sangat']"
pesen barang gasampe2,pesen barang gasampe,pesan  barang gasampe,"['pesan', 'barang', 'gasampe']","['pesan', 'barang', 'gasampe']"
bed,bed,bed,['bed'],['bed']
Lelet bgt sii mangkin gk enk deh,lelet bgt sii mangkin gk enk deh,lelet sangat  sii mangkin tidak enak  deh,"['lelet', 'sangat', 'sii', 'mangkin', 'tidak', 'enak', 'deh']","['lelet', 'sangat', 'sii', 'mangkin', 'tidak', 'enak', 'deh']"
PARAH ANYING AKUN SHOPEE AING MALAH DI BLOKIR DENGAN ALASAN GAJELAS !,parah anying akun shopee aing malah di blokir dengan alasan gajelas,parah anying akun shopee aing malah di blokir dengan alasan tidak jelas,"['parah', 'anying', 'akun', 'shopee', 'aing', 'malah', 'di', 'blokir', 'dengan', 'alasan', 'tidak', 'jelas']","['parah', 'anying', 'akun', 'shopee', 'aing', 'malah', 'blokir', 'alasan', 'tidak', 'jelas']"
kebanyakan update setiap update malah malin ga jelas malah makin lemot sistem loading nya buka karena jaringan tpi emang dri shoppe nya!!!,kebanyakan update setiap update malah malin ga jelas malah makin lemot sistem loading nya buka karena jaringan tpi emang dri shoppe nya,kebanyakan update setiap update malah malin tidak jelas malah makin lemot sistem loading nya buka karena jaringan tapi  memang  dari  shoppe nya,"['kebanyakan', 'update', 'setiap', 'update', 'malah', 'malin', 'tidak', 'jelas', 'malah', 'makin', 'lemot', 'sistem', 'loading', 'nya', 'buka', 'karena', 'jaringan', 'tapi', 'memang', 'dari', 'shoppe', 'nya']","['kebanyakan', 'update', 'update', 'malah', 'malin', 'tidak', 'jelas', 'malah', 'makin', 'lemot', 'sistem', 'loading', 'nya', 'buka', 'jaringan', 'memang', 'shoppe', 'nya']"
"Transfer ke bank kena biaya 2500, katanya gratis",transfer ke bank kena biaya katanya gratis,transfer ke bank kena biaya katanya gratis,"['transfer', 'ke', 'bank', 'kena', 'biaya', 'katanya', 'gratis']","['transfer', 'bank', 'kena', 'biaya', 'katanya', 'gratis']"
"Sorry nihh, kenapa untuk pencarian seperti pods, vape, dll tidak bisa di cari ya !!!! Tolong perbaiki dongs",sorry nihh kenapa untuk pencarian seperti pods vape dll tidak bisa di cari ya tolong perbaiki dongs,sorry nihh kenapa untuk pencarian seperti pods vape dan lain tidak bisa di cari ya tolong perbaiki dongs,"['sorry', 'nihh', 'kenapa', 'untuk', 'pencarian', 'seperti', 'pods', 'vape', 'dan', 'lain', 'tidak', 'bisa', 'di', 'cari', 'ya', 'tolong', 'perbaiki', 'dongs']","['sorry', 'nihh', 'pencarian', 'pods', 'vape', 'tidak', 'cari', 'perbaiki', 'dongs']"
Tidak sesuai pesanan,tidak sesuai pesanan,tidak sesuai pesanan,"['tidak', 'sesuai', 'pesanan']","['tidak', 'sesuai', 'pesanan']"
Aplikasi nya terlalu berat bngt dan lemot parah bngt,aplikasi nya terlalu berat bngt dan lemot parah bngt,aplikasi nya terlalu berat sangat  dan lemot parah sangat ,"['aplikasi', 'nya', 'terlalu', 'berat', 'sangat', 'dan', 'lemot', 'parah', 'sangat']","['aplikasi', 'nya', 'terlalu', 'berat', 'sangat', 'lemot', 'parah', 'sangat']"
Nyesal gue dowloadnya..gk bisa sama sekali di buka yg ada muter muter trs..parah sihh buat yg mau download urungkan niatmu dekk.nanti nyesal,nyesal gue dowloadnya gk bisa sama sekali di buka yg ada muter muter trs parah sihh buat yg mau download urungkan niatmu dekk nanti nyesal,nyesal saya dowloadnya tidak bisa sama sekali di buka yang  ada muter muter terus  parah sihh buat yang  mau download urungkan niatmu dekk nanti nyesal,"['nyesal', 'saya', 'dowloadnya', 'tidak', 'bisa', 'sama', 'sekali', 'di', 'buka', 'yang', 'ada', 'muter', 'muter', 'terus', 'parah', 'sihh', 'buat', 'yang', 'mau', 'download', 'urungkan', 'niatmu', 'dekk', 'nanti', 'nyesal']","['nyesal', 'dowloadnya', 'tidak', 'sama', 'sekali', 'buka', 'muter', 'muter', 'terus', 'parah', 'sihh', 'buat', 'mau', 'download', 'urungkan', 'niatmu', 'dekk', 'nyesal']"
"Jujur ini aplikasi semakin ke sini semakin gak jelas, sudah top up, mau isi pulsa malah keluar terus",jujur ini aplikasi semakin ke sini semakin gak jelas sudah top up mau isi pulsa malah keluar terus,jujur ini aplikasi semakin ke sini semakin tidak jelas sudah top up mau isi pulsa malah keluar terus,"['jujur', 'ini', 'aplikasi', 'semakin', 'ke', 'sini', 'semakin', 'tidak', 'jelas', 'sudah', 'top', 'up', 'mau', 'isi', 'pulsa', 'malah', 'keluar', 'terus']","['jujur', 'aplikasi', 'semakin', 'sini', 'semakin', 'tidak', 'jelas', 'top', 'up', 'mau', 'isi', 'pulsa', 'malah', 'keluar', 'terus']"
server jelek. konekdi kenceng di shopee jadi lemot,server jelek konekdi kenceng di shopee jadi lemot,server jelek konekdi kencang  di shopee jadi lemot,"['server', 'jelek', 'konekdi', 'kencang', 'di', 'shopee', 'jadi', 'lemot']","['server', 'jelek', 'konekdi', 'kencang', 'shopee', 'jadi', 'lemot']"
"Di hp ZTEA0622, jika kalian login/daftar gabisa (Muncul L01) di web pdhl bisa. cuman di aplikasinnya aja yg bug",di hp ztea jika kalian login daftar gabisa muncul l di web pdhl bisa cuman di aplikasinnya aja yg bug,di hp ztea jika kalian login daftar tidak bisa muncul l di web padahal  bisa hanya di aplikasinnya saja  yang  bug,"['di', 'hp', 'ztea', 'jika', 'kalian', 'login', 'daftar', 'tidak', 'bisa', 'muncul', 'l', 'di', 'web', 'padahal', 'bisa', 'hanya', 'di', 'aplikasinnya', 'saja', 'yang', 'bug']","['hp', 'ztea', 'kalian', 'login', 'daftar', 'tidak', 'muncul', 'l', 'web', 'padahal', 'aplikasinnya', 'bug']"
"Pilih pengiriman instant, sampenya besok hari nya",pilih pengiriman instant sampenya besok hari nya,pilih pengiriman instant sampenya besok hari nya,"['pilih', 'pengiriman', 'instant', 'sampenya', 'besok', 'hari', 'nya']","['pilih', 'pengiriman', 'instant', 'sampenya', 'besok', 'hari', 'nya']"
Verifikasi wajah kenapa lama sekali. Padahal nomer HP dan pasword sudah betul,verifikasi wajah kenapa lama sekali padahal nomer hp dan pasword sudah betul,verifikasi wajah kenapa lama sekali padahal nomer hp dan pasword sudah betul,"['verifikasi', 'wajah', 'kenapa', 'lama', 'sekali', 'padahal', 'nomer', 'hp', 'dan', 'pasword', 'sudah', 'betul']","['verifikasi', 'wajah', 'lama', 'sekali', 'padahal', 'nomer', 'hp', 'pasword', 'betul']"
Lemot parah,lemot parah,lemot parah,"['lemot', 'parah']","['lemot', 'parah']"
"Dulu enak belanja di sini sekarang mending belanja di tik tok saja shopee skrg sdh pakai biaya LAYANAN ,kalau pakau pay later pun tdk dapat gratis ongkir ,POKOKNYA TINGGALKAN SHOPEE",dulu enak belanja di sini sekarang mending belanja di tik tok saja shopee skrg sdh pakai biaya layanan kalau pakau pay later pun tdk dapat gratis ongkir pokoknya tinggalkan shopee,dulu enak belanja di sini sekarang mending belanja di tik tok saja shopee sekarang  sudah pakai biaya layanan kalau pakau pay later pun tidak dapat gratis ongkir pokoknya tinggalkan shopee,"['dulu', 'enak', 'belanja', 'di', 'sini', 'sekarang', 'mending', 'belanja', 'di', 'tik', 'tok', 'saja', 'shopee', 'sekarang', 'sudah', 'pakai', 'biaya', 'layanan', 'kalau', 'pakau', 'pay', 'later', 'pun', 'tidak', 'dapat', 'gratis', 'ongkir', 'pokoknya', 'tinggalkan', 'shopee']","['dulu', 'enak', 'belanja', 'sini', 'sekarang', 'mending', 'belanja', 'tik', 'tok', 'shopee', 'sekarang', 'pakai', 'biaya', 'layanan', 'kalau', 'pakau', 'pay', 'later', 'tidak', 'gratis', 'ongkir', 'pokoknya', 'tinggalkan', 'shopee']"
Rasany pengen uninstall aja. Lemot bgt,rasany pengen uninstall aja lemot bgt,rasany ingin uninstall saja  lemot sangat ,"['rasany', 'ingin', 'uninstall', 'saja', 'lemot', 'sangat']","['rasany', 'uninstall', 'lemot', 'sangat']"
Coba tolong shope eror apa kenapa sih ? koq kembali ke halaman utama melulu. tolong dong pihak shope bertindak,coba tolong shope eror apa kenapa sih koq kembali ke halaman utama melulu tolong dong pihak shope bertindak,coba tolong shope eror apa kenapa sih kok kembali ke halaman utama selalu  tolong dong pihak shope bertindak,"['coba', 'tolong', 'shope', 'eror', 'apa', 'kenapa', 'sih', 'kok', 'kembali', 'ke', 'halaman', 'utama', 'selalu', 'tolong', 'dong', 'pihak', 'shope', 'bertindak']","['coba', 'shope', 'eror', 'apa', 'sih', 'kok', 'halaman', 'utama', 'selalu', 'dong', 'pihak', 'shope', 'bertindak']"
ga jelas . telat bayar seminggu saja langsung di blok . sudah saya lunasi . ga ada timbal balik nya .,ga jelas telat bayar seminggu saja langsung di blok sudah saya lunasi ga ada timbal balik nya,tidak jelas telat bayar seminggu saja langsung di blok sudah saya lunasi tidak ada timbal balik nya,"['tidak', 'jelas', 'telat', 'bayar', 'seminggu', 'saja', 'langsung', 'di', 'blok', 'sudah', 'saya', 'lunasi', 'tidak', 'ada', 'timbal', 'balik', 'nya']","['tidak', 'jelas', 'telat', 'bayar', 'seminggu', 'langsung', 'blok', 'lunasi', 'tidak', 'timbal', 'balik', 'nya']"
Knpaa kok tak bisa cod,knpaa kok tak bisa cod,knpaa kok tak bisa cod,"['knpaa', 'kok', 'tak', 'bisa', 'cod']","['knpaa', 'kok', 'tak', 'cod']"
